0, 0, 0, -0, 0, 0, 0, -0, 0, 0, 0, 0, 0, 0, -0, 0
0.0025, 0, 0, 5.19663e-05, 0.000544904, 0, 0, 0.00431968, 0.0492907, 0, -6.43896e-06, -0.000849355, -0.00163808, -9.41348e-05, 0.0696377, 0.000351976
0.005, 0, 4.34348e-06, 0.000249184, 0.00169079, 0, 0, -0.00899596, -0.00164915, 4.34348e-06, 0.000110121, 8.66746e-05, -0.0064394, -0.00186672, 0.00395138, -0.000235648
0.0075, 0, 1.30304e-05, 0.00055601, 0.00294896, 0, 0, 0.00498931, -0.0585623, 1.30304e-05, 0.000385203, -0.0011475, -0.0132594, -0.00527421, -0.0347519, -0.000248126
0.01, 0, 2.17111e-05, 0.000923814, 0.00421542, 0, 0, -0.0284541, 0.156559, 2.17111e-05, 0.000701974, 0.00230431, -0.0210128, -0.00978098, 0.196334, -0.00221422
0.0125, 0, 3.03668e-05, 0.00136974, 0.00515764, 0, 0, 0.00680516, -0.0579935, 3.03668e-05, 0.00104969, -0.00108039, -0.0302444, -0.0154137, -0.00857706, -0.00150457
0.015, 0, 3.90224e-05, 0.00184873, 0.00598303, 0, 0, -0.0050676, -0.0743437, 3.90224e-05, 0.00137976, 0.016465, -0.0397251, -0.0218993, -0.0332077, -0.00913341
0.0175, 0, 4.76468e-05, 0.00237643, 0.00638754, 0, 0, -0.0052685, -0.0502996, 4.76468e-05, 0.00164952, 0.00100383, -0.0500338, -0.0291806, 0.00080985, -0.00344508
0.02, 0, 5.62805e-05, 0.0029527, 0.00668504, 0, 0, -0.0186698, -0.0270516, 5.62805e-05, 0.00187509, 0.0271291, -0.061092, -0.0373313, 0.0171661, -0.0143074
0.0225, 0, 6.50191e-05, 0.00358346, 0.00691972, 0, 0, -0.00353026, 0.0589101, 6.50191e-05, 0.00204387, 0.000858255, -0.073057, -0.0463916, 0.142598, -0.00410313
0.025, 0, 7.38e-05, 0.00430375, 0.00708482, 0, 0, -0.0234733, 0.156152, 7.38e-05, 0.00221244, 0.00196127, -0.0866703, -0.0567879, 0.239077, -0.00484793
